"MCC","Название","Описание"
"7311","Рекламные услуги","Точки, которые занимаются подготовкой рекламы (копирайтинг, художественные работы, графика и другие творческие работы) и размещают рекламу в периодических изданиях, газетах, на радио, телевидении или других рекламных носителях для клиентов по договору или на платной основе.
Также включены другие виды рекламы, такие как реклама и надписи в небе, распространение купонов и распространение образцов."
"7321","Кредитные бюро","Точки, предоставляющие услуги по предоставлению кредитных отчетов, такие как определение кредитоспособности, расчетно-клиринговые и другие сопутствующие услуги. Этот MCC не включает коллекторские агентства."
"7322","Агентства взыскания долгов",""
"7332","Услуги синьки и фотокопирования",""
"7333","Коммерческое искусство, графика, фотография","Точки, которые предоставляют коммерческое искусство или услуги графического дизайна для рекламных агентств, издателей и других предприятий. Такие услуги могут включать в себя дизайн шелкографии, кинопроизводство и слайд-фильм, графический дизайн, коммерческое искусство и иллюстрации.
Для продавцов, которые предоставляют фото, видео и портретную съемку для личных целей, используется MCC 7221."
"7338","Быстрое копирование, репродуцирование и услуги по созданию чертежей","Точки, которые воспроизводят текст, рисунки, планы, карты и подобные материалы путем создания чертежей, фотокопирования или использования других методов воспроизведения. Такие точки также могут предоставлять услуги сортировки и сшивания."
"7339","Услуги стенографии и секретарского дела","Торговцы, предоставляющие стенографические, секретарские и другие канцелярские услуги, такие как обработка текстов, машинопись, редактирование, письмо, корректура, составление резюме и услуги по составлению судебных отчетов.
Для служб занятости, которые в основном занимаются заполнением секретарских должностей, используется MCC 7361."
"7342","Дезинсекция, дезинфекция и дератизация","Точки, которые предоставляют услуги по борьбе с вредителями, уничтожению, дезинфекции и фумигации, включая уничтожение термитов, насекомых и грызунов."
"7349","Уборка и техническое обслуживание зданий и помещений","Точки, которые предоставляют услуги по уборке и, обслуживанию зданий, такие как мытье окон, полов, услуги школьного сторожа, уборка офисов и помещений по договору или на платной основе."
"7361","Агентства по трудоустройству, временные справочные службы","Торговцы, которые предоставляют услуги по трудоустройству для работодателей или лиц, ищущих работу с постоянными или временными должностями."
"7372","Программирование, обработка данных, проектирование интегрированных систем","Услуги программирования, проектирования систем и обработки данных на основе контракта и платы. Такие услуги могут включать проектирование и анализ компьютерного программного обеспечения, модификацию систем и программного обеспечения, ввод или обработку данных и обучение использованию программного обеспечения."
"7375","Информационно-поисковые услуги","Провайдеры информационных технологий, информации о базах данных, услуги интернет-провайдера."
"7379","Ремонт компьютеров","Техническое обслуживание компьютерного оборудования. Консультации специалиста в этой области. Внедрение баз данных, восстановление информации с пленки, дискет, анализ компьютерных требований."
"7389","Бизнес услуги – нигде более не классифицированные","MCC код не найден, но данный код есть в справочниках SIC-кодов и входит в списки исключений некоторых российских банков. Судя по всему является аналогом MCC 7399."
"7392","Услуги по консультированию, управлению и связям с общественностью","Торговцы, которые предоставляют консультации и помощь в управлении частными, некоммерческими и общественными организациями по договору или на платной основе. Предоставляемые услуги могут включать стратегическое и организационное планирование, финансовое планирование и бюджетирование, разработку маркетинговых целей, планирование информационных систем, разработку кадровой политики, планирование процедур и услуги по связям с общественностью."
"7393","Детективные агентства, охранные агентства, службы безопасности, включая бронированные автомобили, сторожевых собак","Точки, предоставляющие охранные устройства и службы безопасности. Примерами таких устройств и услуг являются бронированные автомобили, системы безопасности (установка, мониторинг и обслуживание), частные следователи, сторожевые собаки и детекторы лжи."
"7394","Аренда оборудования и лизинговые услуги, аренда мебели, прокат инструментов","Торговцы, которые арендуют и сдают в лизинг оборудование, инструменты, мебель, бытовую технику и оргтехнику (за исключением пишущих машинок).
Для проката пишущих машинок используется MCC 5978."
"7395","Фотостудии, фотолаборатории","Печать фотографий, проявка плёнки, ретуширование, фотоувеличение, весь спектр фотомонтажа и ремастеринга. Продажа рамок, фотоальбомов, фотопленки, фотоаппаратов."
"7399","Бизнес услуги – нигде более не классифицированные","Точки, которые предоставляют коммерческие и торговые услуги, которые обычно не считаются профессиями. Этот MCC должен использоваться, только если другой более конкретный MCC не описывает бизнес точки. Примерами таких бизнес-услуг являются издательские компании, компании по управлению конференциями, организаторы совещаний, компании по проведению семинаров, слесари, почтовые и упаковочные услуги (включая продажу марок), службы обработки сообщений и пейджинга, а также услуги по управлению отходами."
"7511","Стоянка грузового транспорта",""
"7512","Агентства по прокату автомобилей - нигде более не классифицированные","Агентства по аренде автомобилей, для которых не назначен уникальный MCC."
"7513","Прокат аксессуаров для трэйлеров и грузовиков.","Лизинг оборудования для грузовиков, фургонов, трэйлеров."
"7519","Прокат домиков на колесах, аксессуары к наземному транспорту.","Прокат прицепов, вагончиков, фургонов, кемпов, тентов для грузовиков как на короткие сроки, так и на большие."
"7523","Паркинги и гаражи","Компании предоставляющие услуги временного паркования для автомобилей, с ежедневной или помесячной оплатой. На контрактной основе или за отдельную плату."
"7531","Кузовной ремонт автомобилей","Точки, которые выполняют кузовные работы. Такие точки также могут или не могут покрасить автомобили в связи с ремонтом кузова.

Для точек, которые в основном красят автомобили, используется MCC 7535.

Для точек, которые выполняют ремонтные работы, кроме ремонта кузова, используется MCC 7538."
"7534","Шиномонтаж и вулканизация","Этот MCC определяет точки, которые продают, устанавливают, ремонтируют или восстанавливают старые шины.

Для точек, которые предоставляют другие виды услуг по ремонту автомобилей, используется MCC 7538.
Для точек, которые в основном продают новые автомобильные шины, используется MCC 5532."
"7535","Покраска автомобилей","Точки, которые красят и полируют исключительно автомобили, в том числе те, которые специализируются на реставрации старинных автомобилей, а также делают покраску на заказ."
"7538","Автосервисы","Точки, которые проводят ремонт автомобилей и общее обслуживание, такое как обслуживание двигателей, тормозной системы, системы кондиционирования воздуха, глушителей, передней части и рамы, топливной системы, карбюраторов, радиаторов, ветровых стекол и окон, а также электроники. В этот MCC входят точки быстрой замены масла и продавцы смазочных материалов. Такие автосервисы также могут выполнять или не выполнять услуги по шиномонтажу."
"7542","Автомойки","Точки, которые моют, чистят воском и полируют автомобили, в том числе щеточные мойки, ручные мойки и мойки самооблуживания."
"7549","Услуги буксировки и эвакуации","Точки, которые предоставляют услуги буксировки транспортных средств."
"7622","Ремонт электроники","Ремонт электроники, такой, как радиоприёмников, телевизоров, аудио аппаратуры, СD-проигрывателей, компьютеров."
"7623","Ремонт кондиционеров и холодильников","Точки, которые обслуживают и ремонтируют бытовые и коммерческие кондиционеры, а также холодильные системы.
Для точек, обслуживающих и ремонтирующих небольшие бытовые приборы, используется MCC 7629.
Для точек, которые обслуживают и ремонтируют большие бытовые приборы, используется MCC 7699."
"7629","Ремонт электрооборудования и малой бытовой техники","Точки, которые обслуживают и ремонтируют бытовые и коммерческие электрические компоненты и небольшие приборы, такие как микроволновые печи, тостеры, а также точки, которые обслуживают и ремонтируют электрические офисные машины, за исключением пишущих машин.
Для точек, специализирующихся на ремонте пишущей машинки, используется MCC 5978. 
Для точек по ремонту электроники используется MCC 7622.
Для точек, которые ремонтируют большие бытовые приборы, используется MCC 7699."
"7631","Центры ремонта часов и чистки ювелирных изделий","Торговые точки по ремонту часов, чистке ювелирных изделий, украшений."
"7641","Обивка, ремонт и отделка мебели","Точки, которые занимаются обивкой, ремонтом и отделкой мебели, включая реставраторов антикварной мебели."
"7692","Ремонт с помощью сварки","Торговые точки специализирующиеся по ремонту с помощью сварки."
"7699","Ремонтные услуги – нигде более не классифицированные","Агенства по ремонтным работам, которые не могут быть классифицированы как какие-либо конкретные. Некоторые из этих агенств могут предлагать отдельные услуги по ремонту бытовой техники (к примеру: сушилки, посудомоечные машины, нагреватели воды), велосипедов, спортивных тренажеров, слуховых аппаратов, протезов, музыкальных инструментов, палаток и подвесок, видеокамер и фотоаппаратов, газонокосилок, чемоданов и кожаных изделий. Также включают в себя центры по чистке и обслуживанию котлов и дымовых труб."
"7800","Государственные лотереи (только США)","Государственные органы, которые управляют лотереями, а также занимаются продажей лотерейных билетов или акций в Интернете или в офисе напрямую или через назначенных агентов.

Использование этого MCC ограничено точками, расположенными в регионе США."
"7801","Азартные игры в интернете (только США)","Торговцы, получившие лицензию в соответствии с действующим законодательством или правилами, чтобы управлять системой или платформой интернет-азартных игр, принимающей размещение ставок.
Использование этого MCC ограничено точками, расположенными в США"
"7802","Лошадиные / собачьи бега (только США)","Торговцы, получившие лицензию в соответствии с применимым законодательством или правилами для проведения в отношении лошадей или собачьих гонок или пари-мутул, или в обоих случаях.
Использование этого MCC ограничено продавцами, расположенными в США"
"7829","Производство и распространение кинофильмов и видеокассет","Оптовые производители и распространители образовательных и промышленных фильмов и видеороликов для выставок и продаж, в том числе рекламных роликов и учебных фильмов.

Для предприятий розничной торговли, которые сдают в аренду видеокассеты потребителям, используется MCC 7841."
"7832","Кинотеатры","Точки, которые управляют кинотеатрами, в том числе под открытым небом (drive-in). Такие продавцы продают билеты и напитки и могут предлагать или не предлагать предварительное бронирование билетов по телефону."
"7833","Экспресс-оплата – Кинотеатр",""
"7841","Видеопрокат","Точки которые сдают в аренду видеокассеты, CD, DVD и видеоигры для домашнего использования. Такие продавцы могут продавать или не продавать ограниченный выбор использованных видео, напитки, конфеты, закуски и чистые кассеты."
"7911","Танцевальные залы, школы и студии","Точки, которые управляют танцевальными студиями, танцевальными школами и общественными танцевальными залами или бальными залами, взимающие плату за вход, уроки и прохладительные напитки. Такие точки могут обучать многим видам танца или специализироваться на чечетке и балете, бальных, кадриле и других видах танца."
"7922","Театральные продюсеры (кроме кинофильмов), билетные агентства","Точки, которые управляют живыми театральными постановками, такими как дорожные компании и летние театральные группы. Сюда также входят услуги, связанные с театральными постановками и концертами, такие как кастинговые агентства, агентства бронирования, декорации, освещение и другое оборудование, а также театральные билетные агентства.

Для кинотеатров используется MCC 7832."
"7929","Музыкальные группы, оркестры и прочие развлекательные услуги","Точки, которые обеспечивают развлечения кроме театральных постановок, и включают музыкантов, группы, оркестры, комиков и фокусников. Точки, которые специализируются на музыке (живые группы или диджеи) для свадеб или мероприятий, также включены."
"7932","Бильярд-клубы","Заведения, которые сдают в аренду бильярдные столы для развлечения. Такие точки могут предлагать бильярдные столы, управляемые монетами, или могут арендовать бильярдные столы на игру или по часам. Также могут быть доступны шаффлборд, дартс и другие игры и напитки."
"7933","Боулинг","Точки, которые используют дорожки для боулинга для развлечения и могут принимать карты за арендную плату, покупки в магазине, напитки.

Точки, расположенные в пределах дорожек для боулинга, которыми управляют отдельно, должны быть классифицированы с соответствующим MCC для этого типа бизнеса. Например, ресторан, расположенный в кегельбане, должен использовать MCC 5812, бар должен использовать MCC 5813."
"7941","Атлетические поля, коммерческие виды спорта, профессиональные спортивные клубы, промоутеры спорта","Точки, которые управляют и продвигают полупрофессиональные и профессиональные спортивные клубы (такие как бейсбол, баскетбол, футбол, хоккей и футбол), продвигают любительские и профессиональные атлетические события и управляют индивидуальными спортсменами. Сюда также входят спортивные арены и стадионы."
"7991","Туристические достопримечательности и выставки","Точки, которые управляют туристическими достопримечательностями и выставками для развлечений, таких как экспозиции, ботанические сады, ремесленные шоу, музеи и винодельни.

Для художественных выставок, проводимых в художественных галереях, используется MCC 5971."
"7992","Публичные поля для гольфа","Торговые точки, которые управляют общественными полями для гольфа. Предлагаемые услуги могут включать в себя оплату за поле, прокат гольф-каров или прокат снаряжения.
Для ресторанов и кафе, расположенных на поле для гольфа, используется MCC 5812. 
Для профессиональных магазинов, продающих принадлежности для гольфа и оборудование, используется MCC 5941. 
Для загородных клубов и частных полей для гольфа используется MCC 7997."
"7993","Принадлежности для видеоигр","Торговые точки, которые продают игровые автоматы, оборудование и расходные материалы. Товары для продажи могут включать в себя автоматы с видеоиграми, музыкальные автоматы, пинбольные машины, слот-машины, механические игры и фотокабины.
Для торговых точек, которые управляют видео и игровыми аркадами, используется MCC 7994."
"7994","Клубы видеоигр","Точки, которые используют интерактивные игры и развлекательные машины, такие как музыкальные автоматы, видеоигры, пинбольные машины, пейнтбол и игры с лазертегом, механические игры и будки мгновенной фотографии.

Для точек, которые продают оборудование для развлечений, используется MCC 7993.

Для точек, работающих с играми, использующими ставки, используется MCC 7995."
"7995","Азартные игры","Любая транзакция, кроме транзакции через банкомат, включающая в себя размещение ставки, покупку лотерейного билета, распространение ставок, коммерческие игры в полете или покупку фишек или другой ценности, используемой для азартных игр в сочетании с игровой деятельностью, предоставляемой заведения для ставок или пари, такие как казино, ипподромы, карточные салоны, авиакомпании и тому подобное."
"7996","Парки аттракционов, карнавалы, цирки, гадалки","Торговые точки, которые управляют парками аттракционов и карнавалами, предлагают механические аттракционы, закуски и киоски с едой, игры, выставки животных и развлечения. Также включены цирки, гадалки, астрологи, читатели карт таро и мистики."
"7997","Клубы – загородные клубы, членство (отдых, спорт), частные поля для гольфа","Торговые точки, которые управляют спортивными и рекреационными объектами, требующими членства. Примерами таких объектов могут быть спортивные и оздоровительные клубы, загородные клубы, частные поля для гольфа, лодочные яхт-клубы, клубы плавания, теннисные клубы, лиги для боулинга, клубы верховой езды, стрелковые клубы и клубы для игры в ракетбол. Такие точки могут или не могут предоставлять услуги массажа и спа-услуги, такие как уход за лицом, консультации по контролю веса, ароматерапия, паровые бани и джакузи.

Для торговцев, которые в основном предоставляют массаж, используется MCC 7297.
Для торговцев, которые в основном управляют спа и связанных с ним услугах, используется MCC 7298."
"7998","Аквариумы, дельфинарии, зоопарки и морские парки","Торговые точки, которые управляют парками морской жизни и зоопарками для развлечения и образования широкой общественности.
Другие услуги, расположенные на территории, такие как рестораны или магазины подарков, должны быть отнесены к MCC, которые лучше всего описывают этот тип бизнеса."
"7999","Услуги отдыха - нигде более не классифицированные","Точки, которые предоставляют широкий спектр услуг для отдыха и развлечений, которые не описаны другим, более конкретным MCC. Как правило, эти точки предоставляют услуги, которые требуют активного физического участия, такие как плавание, игра в минигольф, катание на лыжах, мини автомобильные гонки, катание на коньках, скалолазание, катание на скейте и катание на лошадях. Эти точки могут также сдавать в аренду велосипеды, самолеты, мотоциклы, карты и другое спортивное оборудование. Как правило, эти точки не являются клубами и не требуют членства.

Для частных спортивных клубных и клубов отдыха, требующих членство, используется MCC 7997.

При аренде лодок используется MCC 4457. Для общественных полей для гольфа используется MCC 7992."
"8011","Врачи – нигде более не классифицированные","Лицензированные врачи, занимающиеся общей или специализированной медициной и хирургией, которая не описана другим, более конкретным MCC. К таким точкам относятся пластические и косметические хирурги, дерматологи, психиатры, рентгенологи, ортопеды, педиатры, неврологи, акушеры и гинекологи."
"8021","Стоматологи, ортодонты","Лицензированные врачи, которые практикуют общую или специализированную стоматологию, а также стоматологическую хирургию."
"8031","Остеопаты","Лицензированные врачи, которые проводят терапию с использованием нехирургических манипуляций и корректировки костных структур.

Для ортопедов, которые проводят хирургическое лечение, используется MCC 8011."
"8041","Мануальные терапевты","Медицинские работники, выполняющие лечение позвоночника, опорно-двигательной системы и др."
"8042","Оптометристы, офтальмологи","Оптометристы - это медицинские работники, которые проверяют и лечат дефекты глаз с помощью корректирующих линз или упражнений. Офтальмологи являются лицензированными врачами, которые специализируются на структурах, функциях и заболеваниях глаз и могут выполнять операции. Эти точки могут или не могут заполнять рецепты для очков или контактных линз или продавать оправы для очков."
"8043","Оптика, оптические товары и очки","Торговые точки, которые читают предписания по исправления зрения, заказывают линзы, производят и продают очки и контактные линзы, и могут проводить проверку глаза. Оптики могут также продавать различные оптические товары, такие как защитные очки, солнцезащитные очки (обычные и специальные), футляры для очков и контактных линз. Также включены т.н. ""Очки за час"", располагаемые в торговых центрах. 

Для торговых точек, которые проверяют глаза и проводят процедуры при дефектах глаз с использованием операционных или хирургических методов, используется MCC 8042."
"8044","Оптические товары и очки (TSYS)","Торговые точки, которые читают предписания по исправления зрения, заказывают линзы, производят и продают очки и контактные линзы, и могут проводить проверку глаза. Оптики могут также продавать различные оптические товары, такие как защитные очки, солнцезащитные очки (обычные и специальные), футляры для очков и контактных линз. Также включены т.н. ""Очки за час"", располагаемые в торговых центрах.

Код используется системой TSYS. Для Visa и Mastercard используется MCC 8043."
"8049","Ортопеды","Лицензированные врачи, специализирующиеся на диагностике и лечении болезней ноги"
"8050","Услуги персонального ухода","Точки, которые предоставляют стационарные услуги по уходу за больными и связанные со здоровьем персональные услуги. Из-за их психического или физического состояния пациентам в этих учреждениях могут потребоваться введения лекарств и лечения или наблюдения за самостоятельными лекарствами в соответствии с указаниями врача. Этот MCC включает в себя дома для выздоравливающих, дома престарелых, помещения для хосписа и учреждения для престарелых, которые обеспечивают длительный уход и обычно не выполняют хирургическое вмешательство."
"8062","Больницы","Больницы, которые оказывают диагностические услуги, обширное медицинское лечение, включая хирургическое вмешательство и другие больничные услуги, а также услуги постоянного ухода для больных и раненых. Включает психиатрические больницы, детские больницы и родильные дома.
Для ветеринарных клиник или больниц для животных используется MCC 0742."
"8071","Стоматологические и медицинские лаборатории","Точки, которые предоставляют услуги медицинских и стоматологических специалистов. Включает медицинские лаборатории, которые выполняют биологический анализ, анализ крови, анализ мочи, рентгенологический анализ, бактериологический анализ и диагностический анализ, а также стоматологические лаборатории, которые делают зубные протезы, искусственные зубы, коронки и мосты и индивидуальные ортодонтические приборы."
"8099","Медицинские работники, медицинские услуги – нигде более не классифицированные","Медицинские специалисты, которые не описаны другим, более конкретным MCC. Примеры включают физиотерапевтов, профессиональных терапевтов, психологов и других медицинских работников, таких как банки крови, клиники по планированию семьи, центры химической зависимости, службы тестирования слуха, лицензированные массажисты, хирургические клиники для замены волос и клиники спортивной медицины."
"8111","Адвокаты, юридические услуги","Точки, которые предоставляют юридические консультации и услуги. Такие точки могут специализироваться в одной области судебных процессов, таких как развод или банкротство или предоставлять полный спектр юридических услуг."
"8211","Начальная и средняя школы","Начальные и средние школы, обеспечивающие академическое обучение от детского сада до колледжа, включая государственные, частные, приходские школы, а также школы-интернаты. 

Для дошкольных заведений используется MCC 8351."
"8220","Колледжи, университеты, профессиональные училища и техникумы","Колледжи, университеты, теологические семинарии и профессиональные училища (в том числе стоматологические, юридические, инженерные и медицинские), которые предоставляют академические курсы и предоставляют ученые степени. Требованием для поступления должно быть, по крайней мере, диплом средней школы или его эквивалент.

Для бизнес-школ и секретарских школ используется MCC 8244. Для профессиональных школ используется MCC 8249."
"8241","Дистанционные школы","Школы заочного обучения, которые предлагают учебные пособия по почте, отправляя студентам уроки и экзамены."
"8244","Бизнес / секретарские школы","Бизнес и секретарские школы, которые предлагают общие бизнес-тренинги, такие как управление бизнесом, офисные процедуры, обработка текстов, стенография и другие канцелярские навыки. Такие школы предлагают свидетельство об обучении, но не предлагают ученых степеней.

Для профессиональных школ используется MCC 8249."
"8249","Профессиональные школы и училища","Профессионально-технические училища, которые предлагают обучение и инструктаж по таким специальностям, как сварка, механика, столярные работы, недвижимость и вождение грузовых автомобилей. Такие школы предлагают свидетельство об обучении, но не предлагают ученых степеней."
"8299","Образовательные услуги,  нигде более не классифицированные","Точки, которые предлагают образовательные услуги, которые не описаны другим, более конкретным MCC. К таким точкам относятся школы, в которых преподают музыку, театр, искусство, кулинарию, лепку, школы каратэ, обучение вождению автомобилей и безопасному движению, обучение полетам, обучение шитью и вязанию и т.д.

Для танцевальных школ используется MCC 7911.

Для музыкальных, театральных и художественных школ, которые предоставляют документы об академической степени, используется MCC 8220."
"8351","Услуги ухода за детьми","Точки, которые предоставляют услуги по уходу за детьми включая нянь, ясли и детские сады. Такие точки обычно ухаживают за младенцами и дошкольниками, но могут также заботиться о детях старшего возраста и могут предоставлять или не предоставлять образовательные программы.

Для школ используется MCC 8211."
